상품번호,상품명,자체 상품코드,카테고리ID,요약 설명. 상품 상세정보 상단에 출력됩니다. 외부광고 서비스(페이스북/크리테오 등)와 연동시 필수,판매상태,상품상태,판매가,무게,정가,재고사용,재고수량,상품상세정보,상품URL,대표이미지URL,세금,미성년자 구매,개인통관고유부호,원산지,제조사,브랜드,적립금 설정,구매시적립금지급값,구매시적립금지급단위,할인적용대상,할인금액,할인금액 단위,옵션사용,옵션형태,필수옵션명,필수옵션값,필수옵션재고수량합계,선택옵션명,선택옵션값,선택옵션재고수량합계,입력형옵션,0원선택옵션최대구매수량,재고소진후주문가능여부,네이버다음쇼핑노출용상품명,네이버 쇼핑 이벤트 문구,네이버 쇼핑 카테고리 ID,최소 구매수량,최대 구매수량,1인 최대 구매수량,주문제작상품,병행수입,해외구매대행,판매방식,다음쇼핑하우노출,네이버쇼핑노출,네이버페이,톡체크아웃
7377,ESFP_9999,,CATE1,,판매중,신상품,10000,1,,N,,"<p style=""text-align: center;""><img src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/83f652d0828bb.jpg"" class=""fr-dib"" data-files=""[object Object]""></p>     <p style=""text-align: left;""><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/0cc475f507754.gif""></p>     <p><br></p>     <p><br></p>     <p><br></p>     <p><br></p>     <table class=""noBorder"" style=""width: 70%; margin-left: calc(14%); margin-right: calc(16%);"">         <tbody>             <tr>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/400dce634fcea.png"" style=""width: 163px;""></p><br>                 </td>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b61736b5e8ec9.png"" style=""width: 165px;""></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><a href=""https://etfdiy.imweb.me/49?preview_mode=1""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/79add0960079e.png""></a></p>     <p><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/3bf743bebeeea.jpg"" style=""width: 265px;""></p>     <p><br></p>     <table class=""noBorder _table_responsive"" style=""width: 98%; margin-right: calc(2%);"">         <tbody>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/73""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d940aa619e6eb.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/76""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b2d7893238f8b.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/75""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9ebf0f977bca1.png""></a></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><br></p>",https://assetallocationepi77.imweb.me/shop_view/?idx=697,https://cdn.imweb.me/thumbnail/20240517/b0ae907076e0a.jpg,과세상품,Y,,,,,기본 설정을 따름,,KRW,,,,Y,조합형,기간,"1개월,3개월,6개월,1년,2년",,,,,,본상품 구매 수량만큼 구매 가능,N,,,,60,100,0,N,N,N,소매,Y,Y,Y,Y
7376,ESFP_9998,,CATE1,,판매중,신상품,10000,1,,N,,"<p style=""text-align: center;""><img src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/bd6a4b6e39ecf.jpg"" class=""fr-dib"" data-files=""[object Object]""></p>     <p style=""text-align: left;""><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/0cc475f507754.gif""></p>     <p><br></p>     <p><br></p>     <p><br></p>     <p><br></p>     <table class=""noBorder"" style=""width: 70%; margin-left: calc(14%); margin-right: calc(16%);"">         <tbody>             <tr>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/400dce634fcea.png"" style=""width: 163px;""></p><br>                 </td>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b61736b5e8ec9.png"" style=""width: 165px;""></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><a href=""https://etfdiy.imweb.me/49?preview_mode=1""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/79add0960079e.png""></a></p>     <p><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/3bf743bebeeea.jpg"" style=""width: 265px;""></p>     <p><br></p>     <table class=""noBorder _table_responsive"" style=""width: 98%; margin-right: calc(2%);"">         <tbody>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/73""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d940aa619e6eb.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/76""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b2d7893238f8b.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/75""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9ebf0f977bca1.png""></a></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><br></p>",https://assetallocationepi77.imweb.me/shop_view/?idx=698,https://cdn.imweb.me/thumbnail/20240517/b0ae907076e0a.jpg,과세상품,Y,,,,,기본 설정을 따름,,KRW,,,,Y,조합형,기간,"1개월,3개월,6개월,1년,2년",,,,,,본상품 구매 수량만큼 구매 가능,N,,,,60,100,0,N,N,N,소매,Y,Y,Y,Y
7375,ESFJ_9997,,CATE1,,판매중,신상품,10000,1,,N,,"<p style=""text-align: center;""><img src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/294129d5378f4.jpg"" class=""fr-dib"" data-files=""[object Object]""></p>     <p style=""text-align: left;""><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/0cc475f507754.gif""></p>     <p><br></p>     <p><br></p>     <p><br></p>     <p><br></p>     <table class=""noBorder"" style=""width: 70%; margin-left: calc(14%); margin-right: calc(16%);"">         <tbody>             <tr>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/400dce634fcea.png"" style=""width: 163px;""></p><br>                 </td>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b61736b5e8ec9.png"" style=""width: 165px;""></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><a href=""https://etfdiy.imweb.me/49?preview_mode=1""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/79add0960079e.png""></a></p>     <p><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/3bf743bebeeea.jpg"" style=""width: 265px;""></p>     <p><br></p>     <table class=""noBorder _table_responsive"" style=""width: 98%; margin-right: calc(2%);"">         <tbody>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/73""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d940aa619e6eb.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/76""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b2d7893238f8b.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/75""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9ebf0f977bca1.png""></a></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><br></p>",https://assetallocationepi77.imweb.me/shop_view/?idx=699,https://cdn.imweb.me/thumbnail/20240520/393e0c9b83752.jpg,과세상품,Y,,,,,기본 설정을 따름,,KRW,,,,Y,조합형,기간,"1개월,3개월,6개월,1년,2년",,,,,,본상품 구매 수량만큼 구매 가능,N,,,,60,100,0,N,N,N,소매,Y,Y,Y,Y
7374,ESFJ_9996,,CATE1,,판매중,신상품,10000,1,,N,,"<p style=""text-align: center;""><img src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/f9e112538db00.jpg"" class=""fr-dib"" data-files=""[object Object]""></p>     <p style=""text-align: left;""><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/0cc475f507754.gif""></p>     <p><br></p>     <p><br></p>     <p><br></p>     <p><br></p>     <table class=""noBorder"" style=""width: 70%; margin-left: calc(14%); margin-right: calc(16%);"">         <tbody>             <tr>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/400dce634fcea.png"" style=""width: 163px;""></p><br>                 </td>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b61736b5e8ec9.png"" style=""width: 165px;""></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><a href=""https://etfdiy.imweb.me/49?preview_mode=1""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/79add0960079e.png""></a></p>     <p><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/3bf743bebeeea.jpg"" style=""width: 265px;""></p>     <p><br></p>     <table class=""noBorder _table_responsive"" style=""width: 98%; margin-right: calc(2%);"">         <tbody>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/73""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d940aa619e6eb.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/76""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b2d7893238f8b.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/75""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9ebf0f977bca1.png""></a></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><br></p>",https://assetallocationepi77.imweb.me/shop_view/?idx=700,https://cdn.imweb.me/thumbnail/20240520/393e0c9b83752.jpg,과세상품,Y,,,,,기본 설정을 따름,,KRW,,,,Y,조합형,기간,"1개월,3개월,6개월,1년,2년",,,,,,본상품 구매 수량만큼 구매 가능,N,,,,60,100,0,N,N,N,소매,Y,Y,Y,Y
7373,ESFP_9989,,CATE1,,판매중,신상품,10000,1,,N,,"<p style=""text-align: center;""><img src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/18584ecf9d480.jpg"" class=""fr-dib"" data-files=""[object Object]""></p>     <p style=""text-align: left;""><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/0cc475f507754.gif""></p>     <p><br></p>     <p><br></p>     <p><br></p>     <p><br></p>     <table class=""noBorder"" style=""width: 70%; margin-left: calc(14%); margin-right: calc(16%);"">         <tbody>             <tr>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/400dce634fcea.png"" style=""width: 163px;""></p><br>                 </td>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b61736b5e8ec9.png"" style=""width: 165px;""></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><a href=""https://etfdiy.imweb.me/49?preview_mode=1""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/79add0960079e.png""></a></p>     <p><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/3bf743bebeeea.jpg"" style=""width: 265px;""></p>     <p><br></p>     <table class=""noBorder _table_responsive"" style=""width: 98%; margin-right: calc(2%);"">         <tbody>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/73""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d940aa619e6eb.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/76""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b2d7893238f8b.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/75""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9ebf0f977bca1.png""></a></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><br></p>",https://assetallocationepi77.imweb.me/shop_view/?idx=701,https://cdn.imweb.me/thumbnail/20240517/b0ae907076e0a.jpg,과세상품,Y,,,,,기본 설정을 따름,,KRW,,,,Y,조합형,기간,"1개월,3개월,6개월,1년,2년",,,,,,본상품 구매 수량만큼 구매 가능,N,,,,60,100,0,N,N,N,소매,Y,Y,Y,Y
7372,ESFP_9988,,CATE1,,판매중,신상품,10000,1,,N,,"<p style=""text-align: center;""><img src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/43ab22f00769c.jpg"" class=""fr-dib"" data-files=""[object Object]""></p>     <p style=""text-align: left;""><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/0cc475f507754.gif""></p>     <p><br></p>     <p><br></p>     <p><br></p>     <p><br></p>     <table class=""noBorder"" style=""width: 70%; margin-left: calc(14%); margin-right: calc(16%);"">         <tbody>             <tr>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/400dce634fcea.png"" style=""width: 163px;""></p><br>                 </td>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b61736b5e8ec9.png"" style=""width: 165px;""></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><a href=""https://etfdiy.imweb.me/49?preview_mode=1""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/79add0960079e.png""></a></p>     <p><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/3bf743bebeeea.jpg"" style=""width: 265px;""></p>     <p><br></p>     <table class=""noBorder _table_responsive"" style=""width: 98%; margin-right: calc(2%);"">         <tbody>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/73""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d940aa619e6eb.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/76""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b2d7893238f8b.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/75""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9ebf0f977bca1.png""></a></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><br></p>",https://assetallocationepi77.imweb.me/shop_view/?idx=702,https://cdn.imweb.me/thumbnail/20240517/b0ae907076e0a.jpg,과세상품,Y,,,,,기본 설정을 따름,,KRW,,,,Y,조합형,기간,"1개월,3개월,6개월,1년,2년",,,,,,본상품 구매 수량만큼 구매 가능,N,,,,60,100,0,N,N,N,소매,Y,Y,Y,Y
7371,ESFJ_9987,,CATE1,,판매중,신상품,10000,1,,N,,"<p style=""text-align: center;""><img src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9bb5bfb4051f3.jpg"" class=""fr-dib"" data-files=""[object Object]""></p>     <p style=""text-align: left;""><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/0cc475f507754.gif""></p>     <p><br></p>     <p><br></p>     <p><br></p>     <p><br></p>     <table class=""noBorder"" style=""width: 70%; margin-left: calc(14%); margin-right: calc(16%);"">         <tbody>             <tr>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/400dce634fcea.png"" style=""width: 163px;""></p><br>                 </td>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b61736b5e8ec9.png"" style=""width: 165px;""></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><a href=""https://etfdiy.imweb.me/49?preview_mode=1""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/79add0960079e.png""></a></p>     <p><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/3bf743bebeeea.jpg"" style=""width: 265px;""></p>     <p><br></p>     <table class=""noBorder _table_responsive"" style=""width: 98%; margin-right: calc(2%);"">         <tbody>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/73""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d940aa619e6eb.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/76""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b2d7893238f8b.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/75""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9ebf0f977bca1.png""></a></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><br></p>",https://assetallocationepi77.imweb.me/shop_view/?idx=703,https://cdn.imweb.me/thumbnail/20240520/393e0c9b83752.jpg,과세상품,Y,,,,,기본 설정을 따름,,KRW,,,,Y,조합형,기간,"1개월,3개월,6개월,1년,2년",,,,,,본상품 구매 수량만큼 구매 가능,N,,,,60,100,0,N,N,N,소매,Y,Y,Y,Y
7370,ESFJ_9986,,CATE1,,판매중,신상품,10000,1,,N,,"<p style=""text-align: center;""><img src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d87addc1d0e57.jpg"" class=""fr-dib"" data-files=""[object Object]""></p>     <p style=""text-align: left;""><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/0cc475f507754.gif""></p>     <p><br></p>     <p><br></p>     <p><br></p>     <p><br></p>     <table class=""noBorder"" style=""width: 70%; margin-left: calc(14%); margin-right: calc(16%);"">         <tbody>             <tr>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/400dce634fcea.png"" style=""width: 163px;""></p><br>                 </td>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b61736b5e8ec9.png"" style=""width: 165px;""></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><a href=""https://etfdiy.imweb.me/49?preview_mode=1""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/79add0960079e.png""></a></p>     <p><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/3bf743bebeeea.jpg"" style=""width: 265px;""></p>     <p><br></p>     <table class=""noBorder _table_responsive"" style=""width: 98%; margin-right: calc(2%);"">         <tbody>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/73""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d940aa619e6eb.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/76""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b2d7893238f8b.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/75""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9ebf0f977bca1.png""></a></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><br></p>",https://assetallocationepi77.imweb.me/shop_view/?idx=704,https://cdn.imweb.me/thumbnail/20240520/393e0c9b83752.jpg,과세상품,Y,,,,,기본 설정을 따름,,KRW,,,,Y,조합형,기간,"1개월,3개월,6개월,1년,2년",,,,,,본상품 구매 수량만큼 구매 가능,N,,,,60,100,0,N,N,N,소매,Y,Y,Y,Y
7369,ESTP_9979,,CATE1,,판매중,신상품,10000,1,,N,,"<p style=""text-align: center;""><img src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/cfcd3c3ef605d.jpg"" class=""fr-dib"" data-files=""[object Object]""></p>     <p style=""text-align: left;""><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/0cc475f507754.gif""></p>     <p><br></p>     <p><br></p>     <p><br></p>     <p><br></p>     <table class=""noBorder"" style=""width: 70%; margin-left: calc(14%); margin-right: calc(16%);"">         <tbody>             <tr>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/400dce634fcea.png"" style=""width: 163px;""></p><br>                 </td>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b61736b5e8ec9.png"" style=""width: 165px;""></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><a href=""https://etfdiy.imweb.me/49?preview_mode=1""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/79add0960079e.png""></a></p>     <p><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/3bf743bebeeea.jpg"" style=""width: 265px;""></p>     <p><br></p>     <table class=""noBorder _table_responsive"" style=""width: 98%; margin-right: calc(2%);"">         <tbody>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/73""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d940aa619e6eb.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/76""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b2d7893238f8b.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/75""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9ebf0f977bca1.png""></a></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><br></p>",https://assetallocationepi77.imweb.me/shop_view/?idx=705,https://cdn.imweb.me/thumbnail/20240520/fc53605f95d81.jpg,과세상품,Y,,,,,기본 설정을 따름,,KRW,,,,Y,조합형,기간,"1개월,3개월,6개월,1년,2년",,,,,,본상품 구매 수량만큼 구매 가능,N,,,,60,100,0,N,N,N,소매,Y,Y,Y,Y
7368,ESTP_9978,,CATE1,,판매중,신상품,10000,1,,N,,"<p style=""text-align: center;""><img src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/831ee0e35a3e1.jpg"" class=""fr-dib"" data-files=""[object Object]""></p>     <p style=""text-align: left;""><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/0cc475f507754.gif""></p>     <p><br></p>     <p><br></p>     <p><br></p>     <p><br></p>     <table class=""noBorder"" style=""width: 70%; margin-left: calc(14%); margin-right: calc(16%);"">         <tbody>             <tr>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/400dce634fcea.png"" style=""width: 163px;""></p><br>                 </td>                 <td style=""width: 50%;"">                     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b61736b5e8ec9.png"" style=""width: 165px;""></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><a href=""https://etfdiy.imweb.me/49?preview_mode=1""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/79add0960079e.png""></a></p>     <p><br></p>     <p><br></p>     <p><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/3bf743bebeeea.jpg"" style=""width: 265px;""></p>     <p><br></p>     <table class=""noBorder _table_responsive"" style=""width: 98%; margin-right: calc(2%);"">         <tbody>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/73""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/d940aa619e6eb.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/76""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/b2d7893238f8b.png""></a></p><br>                 </td>             </tr>             <tr>                 <td style=""width: 100.0000%;"">                     <p><a href=""https://etfdiy.imweb.me/75""><img class=""fr-dib"" src=""https://cdn.imweb.me/upload/S202311277b7af2179a486/9ebf0f977bca1.png""></a></p><br>                 </td>             </tr>         </tbody>     </table>     <p><br></p>     <p><br></p>     <p><br></p>",https://assetallocationepi77.imweb.me/shop_view/?idx=706,https://cdn.imweb.me/thumbnail/20240520/fc53605f95d81.jpg,과세상품,Y,,,,,기본 설정을 따름,,KRW,,,,Y,조합형,기간,"1개월,3개월,6개월,1년,2년",,,,,,본상품 구매 수량만큼 구매 가능,N,,,,60,100,0,N,N,N,소매,Y,Y,Y,Y
